ANO;SEXO;NOMBRELOCALIDADRESIDENCIA;CASOS
2018;Mujer;Chapinero;1
2021;Mujer;Kennedy;2
2017;Mujer;Tunjuelito;1
2024;Mujer;Bosa;1
2021;Mujer;Teusaquillo;2
2023;Hombre;Teusaquillo;3
2022;Hombre;Tunjuelito;2
2015;Mujer;Antonio NariÇño;2
2024;Hombre;UsaquÇ¸n;1
2023;Mujer;Usme;1
2020;Mujer;EngativÇ­;1
2015;Hombre;Kennedy;64
2015;Hombre;Santa Fe;90
2024;Hombre;N.A.;122
2015;Hombre;Usme;63
2021;Hombre;MÇ­rtires;923
2017;Hombre;Bosa;85
2020;Mujer;Puente Aranda;30
2022;Hombre;San CristÇübal;118
2022;Hombre;Candelaria;42
2015;Hombre;Ciudad BolÇğvar;25
2023;Hombre;Suba;5
2016;Hombre;Candelaria;5
2016;Mujer;Kennedy;5
2020;Hombre;Barrios Unidos;17
2019;Hombre;San CristÇübal;16
2022;Hombre;Usme;4
2017;Mujer;Antonio NariÇño;3
2021;Mujer;San CristÇübal;15
2015;Hombre;Teusaquillo;4
2017;Hombre;Suba;10
2018;Mujer;MÇ­rtires;13
2019;Hombre;Ciudad BolÇğvar;8
2016;Mujer;EngativÇ­;4
2023;Hombre;Chapinero;5
2024;;Puente Aranda;2
2023;Hombre;Usme;4
2016;Mujer;FontibÇün;1
2015;Mujer;Usme;3
2019;Mujer;Rafael Uribe;1
2021;Hombre;Candelaria;6
2020;Mujer;Santa Fe;4
2017;Hombre;UsaquÇ¸n;1
2024;Hombre;Usme;1
2018;Mujer;Sin dato;118
2018;Hombre;MÇ­rtires;119
2020;Hombre;Sin dato;1020
2021;Mujer;MÇ­rtires;45
2021;Hombre;Sin dato;147
2021;Hombre;San CristÇübal;125
2015;Hombre;San CristÇübal;77
2023;Mujer;Chapinero;1
2017;Mujer;Kennedy;6
2023;Hombre;Kennedy;11
2023;Hombre;Barrios Unidos;3
2016;Hombre;FontibÇün;13
2017;Hombre;Kennedy;72
2018;Hombre;Kennedy;42
2021;Mujer;Santa Fe;21
2018;Hombre;FontibÇün;15
2019;Hombre;Rafael Uribe;11
2022;Mujer;EngativÇ­;3
2022;Hombre;Rafael Uribe;6
2015;Mujer;Ciudad BolÇğvar;5
2021;Hombre;Rafael Uribe;13
2021;Mujer;Sin dato;16
2022;Hombre;Kennedy;9
2024;Mujer;Barrios Unidos;2
2016;Mujer;Rafael Uribe;6
2018;Mujer;Puente Aranda;4
2024;Mujer;Puente Aranda;4
2022;Hombre;Ciudad BolÇğvar;5
2016;Hombre;UsaquÇ¸n;2
2018;Mujer;FontibÇün;3
2023;Hombre;Rafael Uribe;2
2020;Mujer;FontibÇün;3
2016;Mujer;Suba;2
2017;Hombre;Teusaquillo;1
2020;Hombre;Usme;2
2017;Hombre;Barrios Unidos;1
2023;Mujer;Rafael Uribe;1
2019;Mujer;Puente Aranda;2
;;; 
